TMP_mb_u30,Температура на 30-0mb над землёй (К)
TMP_max_wind,Температура при макс. ветре (К)
TMP_msl_1829,Температура на 1829 м над уровнем моря (К)
TMP_msl_2743,Температура на 2743 м над уровнем моря (К)
TMP_msl_3658,Температура на 3658 м над уровнем моря (К)
TMP_pv_p2,Температура при PV=2e-06(км^2/кг/сек) (К)
TMP_sig_0995,Температура на 0.995 сигма-слое (К)
TMP_surf,Температура на поверхности (К)
TMP_tropo,Температура в тропопаузе (К)
TOZNE,Общий озон (DU)
TSOIL_g_00_01,Tемпература почвы на 0-0.1 м над землёй (K)
TSOIL_g_01_04,Tемпература почвы на 0.1-0.4 м над землёй (K)
TSOIL_g_04_10,Tемпература почвы на 0.4-1 м над землёй (K)
TSOIL_g_10_20,Tемпература почвы на 1-2 м над землёй (K)
UGRD_m_10,U-компонента ветра на высоте 10 м (м/с)
UGRD_m_80,U-компонента ветра на высоте 80 м (м/с)
UGRD_m_100,U-компонента ветра на высоте 100 м (м/с)
UGRD_mb_700,U-компонента ветра на 700mb (м/с)
UGRD_mb_750,U-компонента ветра на 750mb (м/с)
UGRD_mb_800,U-компонента ветра на 800mb (м/с)
UGRD_mb_850,U-компонента ветра на 850mb (м/с)
UGRD_mb_900,U-компонента ветра на 900mb (м/с)
UGRD_mb_925,U-компонента ветра на 925mb (м/с)
UGRD_mb_950,U-компонента ветра на 950mb (м/с)
UGRD_mb_975,U-компонента ветра на 975mb (м/с)
UGRD_mb_1000,U-компонента ветра на 1000mb (м/с)
UGRD_mb_u30,U-компонента ветра на 30-0mb над землёй (м/с)
UGRD_max_wind,U-компонента ветра при макс. ветре (м/с)
UGRD_msl_1829,U-компонента ветра на 1829 м над уровнем моря (м/с)
UGRD_msl_2743,U-компонента ветра на 2743 м над уровнем моря (м/с)
UGRD_msl_3658,U-компонента ветра на 3658 м над уровнем моря (м/с)
UGRD_pbl,U-компонента ветра на планетарном пограничном слоe (м/с)
UGRD_pv_p2,U-компонента ветра при PV=2e-06(км^2/кг/сек) (м/с)
UGRD_sig_0995,U-компонента ветра на 0.995 сигма-слое (м/с)
UGRD_tropo,U-компонента ветра в тропопаузе (м/с)
USTM,U-компонента движения шторма
VGRD_m_10,V-компонента ветра на высоте 10 м (м/с)
VGRD_m_80,V-компонента ветра на высоте 80 м (м/с)
VGRD_m_100,V-компонента ветра на высоте 100 м (м/с)
VGRD_mb_700,V-компонента ветра на 700mb (м/с)
VGRD_mb_750,V-компонента ветра на 750mb (м/с)
VGRD_mb_800,V-компонента ветра на 800mb (м/с)
VGRD_mb_850,V-компонента ветра на 850mb (м/с)
VGRD_mb_900,V-компонента ветра на 900mb (м/с)
VGRD_mb_925,V-компонента ветра на 925mb (м/с)
VGRD_mb_950,V-компонента ветра на 950mb (м/с)
VGRD_mb_975,V-компонента ветра на 975mb (м/с)
VGRD_mb_1000,V-компонента ветра на 1000mb (м/с)
VGRD_mb_u30,V-компонента ветра на 30-0mb над землёй (м/с)
VGRD_max_wind,V-компонента ветра при макс. ветре (м/с)
VGRD_msl_1829,V-компонента ветра на 1829 м над уровнем моря (м/с)
VGRD_msl_2743,V-компонента ветра на 2743 м над уровнем моря (м/с)
VGRD_msl_3658,V-компонента ветра на 3658 м над уровнем моря (м/с)
VGRD_pbl,V-компонента ветра на планетарном пограничном слоe (м/с)
VGRD_pv_p2,V-компонента ветра при PV=2e-06(км^2/кг/сек) (м/с)
VGRD_sig_0995,V-компонента ветра на 0.995 сигма-слое (м/с)
VGRD_tropo,V-компонента ветра в тропопаузе (м/с)
VIS,Видимость (м)
VRATE,Cкорость вентиляции (м^2/сек)
VSTM,V-компонента движения шторма
VVEL_mb_700,Вертикальная завихренность на 700mb (Па/сек)
VVEL_mb_750,Вертикальная завихренность на 750mb (Па/сек)
VVEL_mb_800,Вертикальная завихренность на 800mb (Па/сек)
VVEL_mb_850,Вертикальная завихренность на 850mb (Па/сек)
VVEL_mb_900,Вертикальная завихренность на 900mb (Па/сек)
VVEL_mb_925,Вертикальная завихренность на 925mb (Па/сек)
VVEL_mb_950,Вертикальная завихренность на 950mb (Па/сек)
VVEL_mb_975,Вертикальная завихренность на 975mb (Па/сек)
VVEL_mb_1000,Вертикальная завихренность на 1000mb (Па/сек)
VVEL_sig_0995,Вертикальная завихренность на 0.995 сигма-слое (Па/сек)
VWSH_pv_p2,Вертикальный сдвиг скорости PV=2e-06(км^2/кг/сек) (1/сек)
VWSH_tropo,Вертикальный сдвиг скорости в тропопаузе (1/сек)
WEASD,Водный эквивалент накопленной толщины снежного покрова (кг/м^2)
WILT,Tочка увядания (доля)
