Date;Березовка;Ветлужанка;Кировский;Кубеково;Покровка;Свердловский;Северный;Солнечный;Черемушки
2019-03-22;228.0;256.0;337.0;294.0;263.0;228.0;218.0;257.0;222.0
2019-03-23;261.0;256.0;307.0;332.0;286.0;48.0;217.0;310.0;255.0
2019-03-24;55.0;256.0;42.0;93.0;320.0;70.0;167.0;322.0;293.0
2019-03-25;301.0;235.0;352.0;27.0;334.0;220.0;152.0;19.0;287.0
2019-03-26;125.0;114.0;144.0;93.0;260.0;136.0;167.0;94.0;259.0
2019-03-27;120.0;64.0;133.0;170.0;122.0;97.0;65.0;166.0;70.0
2019-03-28;265.0;241.0;322.0;33.0;297.0;26.0;199.0;321.0;274.0
2019-03-29;343.0;297.0;23.0;41.0;76.0;87.0;112.0;207.0;276.0
2019-03-30;137.0;64.0;152.0;;111.0;104.0;61.0;164.0;66.0
2019-03-31;255.0;249.0;309.0;;279.0;78.0;222.0;289.0;237.0
2019-04-01;254.0;249.0;312.0;331.0;280.0;159.0;211.0;286.0;246.0
2019-04-02;235.0;252.0;311.0;309.0;267.0;220.0;212.0;273.0;237.0
2019-04-03;268.0;244.0;309.0;340.0;295.0;278.0;206.0;321.0;267.0
2019-04-04;79.0;150.0;68.0;83.0;45.0;84.0;69.0;88.0;67.0
2019-04-05;132.0;64.0;139.0;126.0;110.0;104.0;64.0;146.0;67.0
2019-04-06;144.0;70.0;145.0;154.0;124.0;107.0;60.0;160.0;64.0
2019-04-07;266.0;242.0;318.0;349.0;299.0;76.0;192.0;328.0;268.0
2019-04-08;269.0;251.0;317.0;355.0;293.0;53.0;210.0;315.0;272.0
2019-04-09;216.0;251.0;20.0;287.0;254.0;66.0;209.0;260.0;246.0
2019-04-10;271.0;235.0;324.0;355.0;305.0;285.0;199.0;337.0;276.0
2019-04-11;278.0;244.0;311.0;350.0;301.0;268.0;202.0;335.0;268.0
2019-04-12;272.0;243.0;331.0;355.0;295.0;83.0;211.0;325.0;263.0
2019-04-13;240.0;255.0;350.0;313.0;274.0;245.0;224.0;277.0;220.0
2019-04-14;285.0;243.0;328.0;353.0;313.0;330.0;199.0;346.0;276.0
2019-04-15;321.0;250.0;1.0;20.0;345.0;300.0;91.0;21.0;284.0
2019-04-16;40.0;212.0;77.0;89.0;63.0;114.0;62.0;107.0;0.0
2019-04-17;228.0;255.0;184.0;274.0;248.0;218.0;210.0;246.0;222.0
2019-04-18;242.0;254.0;289.0;310.0;273.0;229.0;212.0;282.0;239.0
2019-04-19;251.0;250.0;310.0;316.0;282.0;274.0;222.0;305.0;239.0
2019-04-20;189.0;301.0;77.0;198.0;237.0;142.0;169.0;271.0;354.0
2019-04-21;249.0;256.0;310.0;334.0;286.0;311.0;212.0;325.0;248.0
2019-04-22;265.0;255.0;312.0;337.0;285.0;233.0;214.0;321.0;256.0
2019-04-23;118.0;284.0;72.0;192.0;223.0;127.0;199.0;243.0;348.0
2019-04-24;239.0;260.0;331.0;335.0;273.0;95.0;210.0;298.0;259.0
2019-04-25;229.0;247.0;202.0;294.0;253.0;224.0;210.0;264.0;221.0
2019-04-26;235.0;248.0;293.0;300.0;262.0;215.0;215.0;270.0;231.0
2019-04-27;252.0;260.0;319.0;325.0;293.0;289.0;225.0;312.0;249.0
2019-04-28;236.0;252.0;232.0;304.0;264.0;230.0;219.0;270.0;233.0
2019-04-29;49.0;279.0;90.0;110.0;120.0;92.0;69.0;179.0;175.0
2019-04-30;240.0;240.0;150.0;282.0;250.0;212.0;211.0;260.0;233.0
2019-05-01;256.0;250.0;314.0;327.0;286.0;39.0;212.0;306.0;268.0
2019-05-02;259.0;253.0;309.0;320.0;279.0;261.0;212.0;311.0;264.0
2019-05-03;248.0;262.0;66.0;277.0;241.0;176.0;217.0;264.0;275.0
2019-05-04;258.0;233.0;28.0;193.0;255.0;261.0;184.0;256.0;10.0
2019-05-05;241.0;261.0;331.0;308.0;274.0;227.0;216.0;290.0;286.0
2019-05-06;269.0;237.0;330.0;16.0;301.0;100.0;178.0;346.0;292.0
2019-05-07;248.0;262.0;327.0;331.0;283.0;172.0;208.0;306.0;257.0
2019-05-08;260.0;239.0;330.0;19.0;303.0;58.0;195.0;350.0;289.0
2019-05-09;329.0;222.0;17.0;49.0;1.0;72.0;58.0;63.0;336.0
2019-05-10;306.0;243.0;359.0;32.0;325.0;227.0;204.0;27.0;296.0
2019-05-11;243.0;254.0;319.0;312.0;271.0;237.0;224.0;288.0;239.0
2019-05-12;279.0;238.0;333.0;2.0;304.0;201.0;185.0;347.0;294.0
2019-05-13;282.0;248.0;2.0;22.0;305.0;199.0;191.0;1.0;281.0
2019-05-14;246.0;255.0;283.0;338.0;270.0;172.0;206.0;314.0;250.0
2019-05-15;266.0;236.0;12.0;41.0;319.0;101.0;174.0;31.0;281.0
2019-05-16;267.0;247.0;320.0;9.0;290.0;72.0;205.0;336.0;272.0
2019-05-17;210.0;239.0;8.0;15.0;297.0;178.0;210.0;344.0;279.0
2019-05-18;206.0;252.0;167.0;264.0;240.0;205.0;205.0;257.0;235.0
2019-05-19;198.0;279.0;180.0;247.0;232.0;205.0;180.0;238.0;225.0
2019-05-20;226.0;261.0;133.0;288.0;253.0;217.0;206.0;263.0;234.0
2019-05-21;253.0;250.0;349.0;336.0;283.0;222.0;201.0;301.0;259.0
2019-05-22;255.0;254.0;323.0;321.0;284.0;116.0;212.0;295.0;262.0
2019-05-23;249.0;253.0;325.0;350.0;291.0;139.0;161.0;293.0;262.0
2019-05-24;236.0;260.0;276.0;294.0;258.0;219.0;177.0;230.0;239.0
2019-05-25;225.0;263.0;166.0;277.0;250.0;225.0;172.0;210.0;234.0
2019-05-26;246.0;253.0;313.0;308.0;265.0;225.0;154.0;218.0;255.0
2019-05-27;259.0;258.0;321.0;325.0;283.0;77.0;166.0;254.0;267.0
2019-05-28;235.0;272.0;1.0;290.0;256.0;209.0;171.0;219.0;240.0
2019-05-29;241.0;268.0;14.0;296.0;259.0;200.0;174.0;217.0;241.0
2019-05-30;232.0;253.0;179.0;279.0;250.0;223.0;167.0;207.0;234.0
2019-05-31;254.0;254.0;324.0;331.0;279.0;113.0;165.0;262.0;269.0
2019-06-01;267.0;246.0;334.0;338.0;294.0;160.0;152.0;270.0;268.0
2019-06-02;266.0;248.0;330.0;20.0;306.0;233.0;151.0;293.0;266.0
2019-06-03;254.0;259.0;326.0;4.0;270.0;200.0;171.0;267.0;246.0
2019-06-04;32.0;56.0;57.0;122.0;93.0;55.0;29.0;97.0;84.0
2019-06-05;350.0;161.0;62.0;121.0;89.0;57.0;153.0;78.0;84.0
2019-06-06;131.0;66.0;133.0;182.0;100.0;96.0;3.0;126.0;94.0
2019-06-07;181.0;270.0;127.0;347.0;64.0;75.0;54.0;135.0;27.0
2019-06-08;226.0;269.0;163.0;277.0;233.0;216.0;173.0;264.0;234.0
2019-06-09;277.0;266.0;2.0;316.0;245.0;231.0;161.0;;258.0
2019-06-10;257.0;259.0;323.0;332.0;265.0;113.0;169.0;;268.0
2019-06-11;256.0;262.0;325.0;329.0;263.0;276.0;168.0;264.0;258.0
2019-06-12;232.0;266.0;166.0;280.0;234.0;215.0;174.0;207.0;234.0
2019-06-13;237.0;259.0;146.0;273.0;229.0;212.0;168.0;200.0;233.0
2019-06-14;258.0;248.0;352.0;296.0;258.0;225.0;150.0;232.0;247.0
2019-06-15;115.0;241.0;119.0;13.0;37.0;99.0;22.0;64.0;102.0
2019-06-16;89.0;298.0;86.0;48.0;100.0;161.0;23.0;91.0;112.0
2019-06-17;249.0;264.0;332.0;248.0;260.0;228.0;177.0;244.0;249.0
2019-06-18;129.0;30.0;150.0;105.0;117.0;120.0;357.0;146.0;98.0
2019-06-19;237.0;256.0;7.0;238.0;248.0;221.0;157.0;226.0;247.0
2019-06-20;16.0;55.0;101.0;56.0;160.0;128.0;355.0;128.0;138.0
2019-06-21;113.0;177.0;118.0;16.0;7.0;122.0;351.0;62.0;119.0
2019-06-22;148.0;56.0;155.0;97.0;128.0;106.0;351.0;129.0;122.0
2019-06-23;152.0;348.0;146.0;82.0;145.0;155.0;327.0;176.0;148.0
2019-06-24;261.0;277.0;320.0;263.0;268.0;295.0;165.0;271.0;248.0
2019-06-25;247.0;265.0;317.0;259.0;270.0;326.0;169.0;269.0;245.0
2019-06-26;276.0;241.0;333.0;295.0;297.0;89.0;145.0;287.0;275.0
2019-06-27;273.0;239.0;13.0;48.0;312.0;327.0;146.0;317.0;237.0
2019-06-28;138.0;80.0;154.0;43.0;125.0;122.0;18.0;109.0;128.0
2019-06-29;134.0;55.0;134.0;77.0;108.0;109.0;357.0;127.0;85.0
2019-06-30;276.0;238.0;343.0;290.0;297.0;219.0;133.0;311.0;285.0
2019-07-01;278.0;259.0;327.0;285.0;296.0;280.0;147.0;307.0;271.0
2019-07-02;254.0;264.0;334.0;239.0;256.0;217.0;166.0;250.0;244.0
2019-07-03;247.0;270.0;357.0;184.0;243.0;200.0;163.0;232.0;239.0
2019-07-04;116.0;17.0;128.0;61.0;111.0;82.0;28.0;119.0;90.0
2019-07-05;196.0;179.0;206.0;238.0;232.0;228.0;161.0;215.0;216.0
2019-07-06;240.0;271.0;325.0;242.0;245.0;239.0;173.0;227.0;241.0
2019-07-07;74.0;327.0;89.0;93.0;185.0;103.0;145.0;188.0;120.0
2019-07-08;264.0;264.0;339.0;280.0;276.0;174.0;140.0;277.0;264.0
2019-07-09;134.0;285.0;140.0;65.0;141.0;119.0;12.0;138.0;111.0
2019-07-10;270.0;272.0;346.0;276.0;258.0;314.0;159.0;254.0;265.0
2019-07-11;292.0;233.0;358.0;299.0;300.0;216.0;115.0;303.0;272.0
2019-07-12;32.0;136.0;49.0;24.0;36.0;76.0;14.0;53.0;34.0
2019-07-13;51.0;88.0;64.0;;54.0;58.0;18.0;77.0;66.0
2019-07-14;25.0;205.0;27.0;;341.0;286.0;65.0;22.0;278.0
2019-07-15;324.0;215.0;13.0;;322.0;342.0;103.0;354.0;274.0
2019-07-16;68.0;71.0;107.0;;78.0;78.0;20.0;95.0;84.0
2019-07-17;207.0;229.0;150.0;;219.0;207.0;149.0;174.0;222.0
2019-07-18;67.0;231.0;78.0;;131.0;71.0;32.0;160.0;82.0
2019-07-19;253.0;224.0;28.0;;310.0;285.0;128.0;321.0;238.0
2019-07-20;34.0;187.0;57.0;;39.0;72.0;17.0;50.0;33.0
2019-07-21;115.0;64.0;113.0;;122.0;106.0;35.0;130.0;88.0
2019-07-22;46.0;163.0;49.0;;194.0;39.0;33.0;150.0;91.0
2019-07-23;327.0;206.0;28.0;;322.0;342.0;100.0;341.0;266.0
2019-07-24;324.0;213.0;351.0;;321.0;261.0;114.0;10.0;251.0
2019-07-25;283.0;221.0;;;293.0;236.0;142.0;301.0;278.0
2019-07-26;266.0;223.0;;;294.0;228.0;149.0;295.0;269.0
2019-07-27;267.0;223.0;;;302.0;248.0;134.0;299.0;274.0
2019-07-28;246.0;222.0;;;256.0;224.0;149.0;287.0;247.0
2019-07-29;115.0;78.0;;;107.0;109.0;22.0;122.0;97.0
2019-07-30;103.0;52.0;137.0;;90.0;93.0;17.0;122.0;84.0
2019-07-31;241.0;233.0;4.0;;254.0;225.0;159.0;237.0;244.0
2019-08-01;118.0;240.0;92.0;;199.0;141.0;107.0;208.0;164.0
2019-08-02;83.0;46.0;147.0;;98.0;119.0;16.0;118.0;87.0
2019-08-03;46.0;230.0;47.0;;231.0;273.0;54.0;134.0;92.0
2019-08-04;80.0;85.0;139.0;;145.0;129.0;33.0;134.0;104.0
2019-08-05;139.0;50.0;140.0;;81.0;109.0;22.0;123.0;77.0
2019-08-06;289.0;220.0;354.0;;303.0;185.0;139.0;311.0;280.0
2019-08-07;86.0;150.0;136.0;;145.0;152.0;19.0;58.0;184.0
2019-08-08;298.0;239.0;5.0;;253.0;212.0;158.0;244.0;253.0
2019-08-09;234.0;219.0;128.0;;201.0;134.0;149.0;232.0;229.0
2019-08-10;248.0;244.0;326.0;;254.0;231.0;172.0;257.0;241.0
2019-08-11;220.0;222.0;333.0;;289.0;181.0;149.0;283.0;242.0
2019-08-12;240.0;229.0;315.0;;269.0;199.0;157.0;272.0;253.0
